a2_1,a2v_1,a2_2,a2v_2
1.5708,0,1.5708,-6.54503e-11
1.5708,-3.49788e-10,1.5708,-1.59776e-10
1.5708,-4.02155e-09,1.5708,-2.82746e-09
1.5708,-1.97579e-08,1.5708,-1.63833e-08
1.5708,-6.52157e-08,1.5708,-5.80563e-08
1.5708,-1.70118e-07,1.5708,-1.57142e-07
1.5708,-3.7939e-07,1.5708,-3.58138e-07
1.5708,-7.56318e-07,1.5708,-7.23903e-07
1.5708,-1.38567e-06,1.5708,-1.33878e-06
1.5708,-2.37683e-06,1.5708,-2.31174e-06
1.5708,-3.86696e-06,1.5708,-3.77951e-06
1.5708,-6.02406e-06,1.5708,-5.90968e-06
1.5708,-9.05013e-06,1.5708,-8.90382e-06
1.57079,-1.31842e-05,1.57079,-1.30005e-05
1.57079,-1.87054e-05,1.57079,-1.84785e-05
1.57079,-2.59359e-05,1.57079,-2.56597e-05
1.57079,-3.5244e-05,1.57079,-3.49118e-05
1.57079,-4.70471e-05,1.57079,-4.66519e-05
1.57078,-6.18143e-05,1.57079,-6.13486e-05
1.57078,-8.00695e-05,1.57078,-7.95255e-05
1.57078,-0.000102394,1.57078,-0.000101763
1.57077,-0.000129428,1.57077,-0.000128702
1.57076,-0.000161876,1.57076,-0.000161046
1.57075,-0.000200505,1.57075,-0.000199561
1.57074,-0.00024615,1.57074,-0.000245083
1.57072,-0.000299715,1.57072,-0.000298515
1.57071,-0.000362173,1.57071,-0.00036083
1.57068,-0.000434571,1.57068,-0.000433073
1.57066,-0.000518028,1.57066,-0.000516365
1.57063,-0.000613737,1.57063,-0.000611898
1.57059,-0.000722966,1.57059,-0.000720941
1.57055,-0.00084706,1.57055,-0.000844836
1.5705,-0.000987438,1.5705,-0.000985004
1.57044,-0.00114559,1.57044,-0.00114294
1.57038,-0.00132309,1.57038,-0.0013202
1.5703,-0.00152158,1.5703,-0.00151845
1.57021,-0.00174276,1.57021,-0.00173937
1.57011,-0.00198843,1.57012,-0.00198477
1.57,-0.00226042,1.57,-0.00225648
1.56987,-0.00256066,1.56987,-0.00255642
1.56973,-0.0028911,1.56973,-0.00288657
1.56957,-0.00325378,1.56957,-0.00324894
1.56938,-0.00365079,1.56939,-0.00364561
1.56918,-0.00408423,1.56918,-0.00407872
1.56895,-0.00455629,1.56895,-0.00455043
1.5687,-0.00506916,1.5687,-0.00506295
1.56842,-0.00562507,1.56842,-0.0056185
1.5681,-0.00622628,1.56811,-0.00621933
1.56776,-0.00687506,1.56777,-0.00686773
1.56738,-0.00757368,1.56739,-0.00756596
1.56697,-0.00832442,1.56697,-0.0083163
1.56651,-0.00912955,1.56652,-0.00912102
1.56601,-0.00999132,1.56602,-0.00998239
1.56546,-0.010912,1.56547,-0.0109026
1.56487,-0.0118937,1.56488,-0.0118839
